videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
03u62rU-ikM,True,True,1,People & Blogs,631,262,20210921,UCy8-iK0W1LMI0DTms-LTrmA,@ahmadiqbalofficial6833,id
03UNh-NzAW0,True,True,24,People & Blogs,364,346,20231012,UCH0NHGARRVCH3szNtZhBLjw,@alfarisiproperty,id
03xjKSxwOsI,True,True,1,Comedy,248,4625,20160506,UC1xpNdVd6CtGEgDsuWloXGA,@gamerbarokah7641,id
03-XkICK9oU,True,True,2,Education,263,528,20220306,UCvZ8Lw5BgzQFbDH5nIx8uzg,@mitaziza743,id
0-3Y4Uu_csw,True,True,1,Education,38,9096,20220517,UCIXwd-xlZAbr3AjJZJZTTPw,@EkaHospitalGroup,id
03Yu0ziXXKk,True,True,1,People & Blogs,191,762,20230517,UCn0wps0LTcSsPAbjB606olw,@PenaApr,id
03zEOfD_OJc,True,True,3,Pets & Animals,211,100,20231017,UCuHMXMstkFKhNf4DHUrTw3g,@sabetian,id
0-40iRgG730,True,True,9,Entertainment,765,1986,20230828,UC0g45U_bq7OaMAkA80_mrHQ,@FiekaMinoru,id
042l8n83CEs,True,True,1,Education,794,951,20220718,UC1mt5sfOOLAo9SE6VBOwdwQ,@amatsume1813,id
042qmaEchSw,True,True,1,People & Blogs,281,157,20220223,UCnBCSJ-GB6MgEWwZs02x6Ew,@SeputarYoutube.,id
04EaHsbMd14,True,True,1,Gaming,2176,247224,20221202,UC1cu3C3XRmGee8b1jifMQWA,@Droomp,id
04ebiY4SzKA,True,True,2,Gaming,396,1380,20220315,UCf7IM1X4Ic6ub_igP8_VrRQ,@footballmanagerid4987,id
04eVOzp7FFk,True,True,2,Education,231,18628,20220813,UCpNS1e8i6pgkxqxbdIPnUNQ,@rajabrawijaya7508,id
04EYJNRXyfU,True,True,2,Education,1236,76766,20230401,UCnBbolAKpFYQqEG7LkD67CA,@TomMCIfle,id
04fFuCPKHb4,True,True,1,Film & Animation,3225,592,20221229,UCNpY7tYDkSdd584lyFlL86Q,@AbrizarCuppy,id
04HObWowhAc,True,True,1,People & Blogs,540,71094,20230112,UCTEfCF20aLQnNJkNDwgVK5g,@SOFYANPULSA,id
04i6PDSPYq0,True,True,1,Travel & Events,649,140,20221020,UCWOwRCfSRzSjpgIH03Pdz9A,@Jakaekapurnama_,id
04JKAqSkQp4,True,True,2,Travel & Events,774,5393,20220406,UCpEdEnmjDDEaZfiXTMy6XLw,@Hamdan1970,id
04kFs8DZ_-w,True,True,1,People & Blogs,210,15471,20210906,UCiMt4YU2FLMZuuuJyQJoZxQ,@eztv,id
04l4278Utss,True,True,1,People & Blogs,3229,128,20230204,UCAH9sTlbDq6NeBKbYW1XWaQ,@percikanterang1305,id
04lWW0YXNSc,True,True,1,People & Blogs,371,43756,20210604,UCo7lmqrYuIwTre0aCadtj3Q,@Ariirawansaputra,id
04ND11uqRtg,True,True,6,News & Politics,39,2340,20230813,UCTvv4NDCXcgjNvGZtXqf1cg,@infounik_,id
_04O87ace0A,True,True,1,People & Blogs,513,960,20210617,UCsf_TA7ObrLFbxxDvBn38QA,@AcendCenel,id
04P07JCSp0Y,True,True,3,People & Blogs,864,573,20220813,UCJ91ebfk1Dg6E37ly3_WGHA,@budibudiman234,id
04q43S8-XSY,True,True,2,Education,342,33,20201020,UCb7UnwaTsj4uhXShD_nLdKw,@acortanas,id
04Q8943XFjo,True,True,2,People & Blogs,893,3777,20220824,UCxMy00J75yyFzJVjfc9N8Vg,@ZeeFN,id
0-4q95EDII8,True,True,8,Howto & Style,492,117,20220107,UCxbCPzIbNSU_Xs_sYQfkXOw,@RizwanjiChannel,id
04QdR8KubJo,True,True,1,Howto & Style,865,831,20231014,UCjJ102IlNNMufiLd53dzQcA,@EcocraftPuterikasih,id
04rsP1HYPgg,True,True,2,People & Blogs,483,3774,20210304,UC03NK2DK43Q7FSySVTKUVjw,@RIANI28,id
04Wb7DG_laA,True,True,1,People & Blogs,338,11481,20201006,UCDNUbuYrgMZtT8xfZSt9vGA,@Tutorial_pku,id
04-Wu849If4,True,True,1,People & Blogs,841,1758,20230123,UCpGYeFZH4jgqYfrHiUQR1iQ,@ricolobuluhsurbakti694,id
04xmiPlueiA,True,True,25,Autos & Vehicles,752,3378,20220713,UCvbhlKeHDr1dq1UkHjzjCOg,@tjapkalengrombeng,id
04y0GvNdMtg,True,True,5,Howto & Style,689,1577,20221103,UCgE12CHfVNrbBXGBTPR2_Wg,@tulank,id
04y1_W_1kZM,True,True,2,Howto & Style,1035,24340,20220929,UCwn6nDVtiu8jtsjJeFMy2fw,@gowayelektro,id
04Ysy3QJY4g,True,True,1,Film & Animation,4551,553,20230618,UCNpY7tYDkSdd584lyFlL86Q,@AbrizarCuppy,id
051HVIB0D2w,True,True,4,People & Blogs,40,37,20230406,UCn-YISEohctaYjXfIMCI0mA,@ndankhusni85,id
053-HxIcNyg,True,True,1,People & Blogs,381,329,20200423,UCGOi_aO_pEkDYs8uSJduP6w,@BISAAI,id
-054oVDJGuI,True,True,2,Pets & Animals,323,31746,20220217,UCuoh_u9C1szKYnPIjoJ9hPg,@iwanjangkung,id
0568WNthTHE,True,True,2,Entertainment,623,606,20221122,UCQIKNDIYfvF7ZV3Ja-_m-mA,@Perkebunan,id
058DXk9Y09A,True,True,7,Education,482,29,20221113,UCUKydHDOy328eQsIjkL4xCQ,@materimatematika,id
05-8HebRTQc,True,True,9,Sports,59,1822,20230613,UC_9XY7Vy91reW5wvv7K6iGQ,@11Hub-bi7ts,id
