videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
00y99-d-ikc,True,True,1,Science & Technology,564,1321,20230302,UC2j2SYxZivehBqFIsLEtwSQ,@icarefonejapan5506,ja
00yOupYkRlw,True,True,1,People & Blogs,529,17344,20190911,UCFZJgSUJg5C8tYxYVWQ_99g,@nd-er2pn,ja
00YX1d_vUYE,True,True,1,Gaming,514,4543,20230728,UC8BuNS-I10sz3jRG02_j4Vw,@kaerutengu,ja
00yxXmoAla4,True,True,1,Sports,1079,260,20210914,UCVGudgh2XIh_DTHMsQVPotA,@abemaru344,ja
00Z8eomlFco,True,True,1,People & Blogs,124,28,20230902,UC1wL4UuQ9A9HDITdwz1imQQ,@vantagepointjp,ja
00zlayPEjcA,True,True,1,Entertainment,225,513,20230918,UCAWFrnlwa49XyRqXcbFTOwQ,@24.7NEWSChanel,ja
00zQWQFN3GA,True,True,2,News & Politics,672,15215,20211127,UCZ_SuRDKVceNj62dclYkRMg,@HotchPotch1,ja
010Pxrcw6Gk,True,True,5,Entertainment,703,123,20220507,UCRs6cMMuE7b7ClZEm_l4Dhg,@susumo,ja
011hNvV5-Y0,True,True,1,Education,1792,12084,20180210,UCfPBVNEvh_z6rbBvtuYB64Q,@Mayohare-fx,ja
011I3-4SoQA,True,True,1,Entertainment,351,354,20191008,UC1BMkwvwPpJgeGA5hr2BC_Q,@walk-ge1sd,ja
011VMruxdL8,True,True,2,News & Politics,595,3816,20220204,UCR8dHXk1HrH6jry7oTHAMwA,@oshietepotch,ja
012uBto16eo,True,True,2,Entertainment,499,49225,20190603,UCexbqeATcS0nViTHqOzJYLg,@vintagedenimadviser,ja
0_12wX9CPbc,True,True,1,Science & Technology,337,49227,20221121,UCv5iVjD-tFfl04V4AB4XRYw,@AppleJapan,ja
013zvqvUOGo,True,True,1,Film & Animation,42,27530,20230321,UCh5BfHQi8ng3Qa34jNQr94w,@haripota,ja
015HCQqnYwM,True,True,2,Howto & Style,850,500,20231005,UCpniGiRoUjMCkJJZSjoljfQ,@thenoriito,ja
-015ZYWFUjA,True,True,2,People & Blogs,543,6835,20230720,UCkju1H2xqMq56RHk8jI2b7Q,@yunayabe,ja
018mZ2NgG68,True,True,5,People & Blogs,929,9339,20230104,UCAKCndd3C0WGjRZyIOqD4Fw,@osakadaisuki,ja
01-9o4Q39V8,True,True,1,Howto & Style,232,53,20220527,UCVAx0I_Ne1ipG543AYKhhHg,@naotokondo,ja
01a5iKObI50,True,True,1,Travel & Events,381,557,20230717,UCq79CockhDk4cweC0Y5s60A,@mimi-eg1fr,ja
01a90RswpXs,True,True,1,People & Blogs,55,952,20231025,UCIihyJ-irwRJwUJLwTnl6Ow,@user-ya17tyannneru60,ja
01AR52sk_uM,True,True,6,Howto & Style,665,10824,20221014,UCZz8VRRA_oxSpSAIo1p4Y6w,@user-lc9qb9ul7l,ja
01beuWTrp4k,True,True,1,Entertainment,177,504,20220630,UC8aTEz1EPrYoTXNvGRWZOaQ,@marusenryu,ja
01bg1lMjxdg,True,True,1,News & Politics,1506,2436,20091222,UCVgZUHlkoN51FOwoNMBGjfw,@MHLWchannel,ja
01--_BvR3qw,True,True,1,Entertainment,120,148,20130510,UCi0vO2Pn97TYLZbzQKNk4rQ,@iroirotoup,ja
01Bxh4skqbw,True,True,7,People & Blogs,607,2772,20231025,UCUzMy3uyj79cjuJ1QgcJK2g,@___satofamily,ja
01C2tjc-ADQ,True,True,1,News & Politics,393,4,20230514,UCAWFrnlwa49XyRqXcbFTOwQ,@24.7NEWSChanel,ja
01c3YDTGIdE,True,True,1,Gaming,603,171,20230531,UChqAIFpUrxtj7WKdocKjkmw,@enzo-games,ja
01cFKW_4cZs,True,True,1,Entertainment,7448,11,20220512,UCTwwvpgyP7o7bBQo7INbXUQ,@audiobook_space,ja
01CfrptQIcw,True,True,1,Howto & Style,1049,772,20210505,UCZoMu-wO_XnhPj-HvgZF43w,@wasavi__jp,ja
01cPvTy70PQ,True,True,7,Autos & Vehicles,2495,17146,20200716,UCoYutEqSoJARwM9BUd9kxGA,@select-suzuki,ja
01cqrnUGFw0,True,True,1,People & Blogs,828,235,20200927,UCua683UKfuMh8IbHy0zvK6Q,@user-le7wx1so5z,ja
01CwAukg11s,True,True,1,Gaming,2138,17,20230523,UCScqPOV2teoWefTu1ThTRJA,@momonomomota,ja
01cz7XzRD5Y,True,True,1,Science & Technology,968,1705,20211124,UCaOkRhbjsqviiDQdKn-p0HA,@dbsj4040,ja
01D7G9cQPu0,True,True,4,Travel & Events,1310,1163,20230628,UCVwRN1Y4qJVko-9NyXxv9dw,@anatamoikitai,ja
01Dx3swWQts,True,True,5,Sports,137,638,20221025,UCQ3oreYNnljzwuh_ssqueAA,@colnagoangler,ja
01ER7d3KFe8,True,True,1,Nonprofits & Activism,132,129,20200225,UC7Gcmvw7uUV_n2mWsww7DBw,@hareruwa,ja
01fciHBtA2o,True,True,1,Howto & Style,1439,203129,20230707,UC3MEHVxWH61MlRaJx1LQXbA,@oshirocycle,ja
01fen_C6GmM,True,True,1,People & Blogs,252,52,20210813,UC1wL4UuQ9A9HDITdwz1imQQ,@vantagepointjp,ja
01FiS6fbV1Q,True,True,1,Howto & Style,1124,280,20230527,UCSUpivLagM-UvPhV-FNg0gA,@Droneaerialphotographer,ja
01fmUAz47sU,True,True,1,People & Blogs,59,170,20230510,UCRRuWtCPE7R-7XNWYQyU80A,@stajym,ja
01fxuFDYUQY,True,True,1,People & Blogs,133,24,20180709,UCwBlD5_4rS__Gb6SVTv-avQ,@chinsato8707,ja
01HK0UMGyU0,True,True,1,Howto & Style,565,530,20220911,UCMHVSZ-zBm0k7XM_xq2MlLQ,@user-jl9qe2nu5u,ja
01hNGmy1Tyo,True,True,6,People & Blogs,1044,19178,20230928,UCBk_efQJJVsSawIBN2S6YEQ,@outdoor_life23,ja
01hqZZGJ5Y0,True,True,1,Science & Technology,191,142,20201127,UC_vk0h74iTn4YvLoT9PB5iw,@flappytank7640,ja
01hv_NBKZd0,True,True,1,Gaming,1343,1234,20220911,UCZClbdID0LrfXjd8D4PZeDA,@koeiprogenitor,ja
01imCs-WwNo,True,True,1,Sports,919,1415,20210915,UCGgQx8kY6J2BZDpck3tBifA,@yamadori.sawakudari,ja
01inBEBBSBA,True,True,2,Gaming,127,1867,20210622,UCTZL0y_RCjtt1l-w2kjPkXQ,@yd6,ja
01INNV4wjHk,True,True,1,Education,407,736,20230808,UCH_Zk0Qe8gNSckQZZZsIqIw,@ExcelOfficeChannel,ja
01jjZA56vpM,True,True,10,Gaming,436,267,20221205,UCZhQVHQJaId7YW3TyRSXktQ,@VisitoR_VR,ja
0_1JqPFqq6s,True,True,3,Gaming,286,170271,20210816,UC3mg2cYm0T0AbpV89vmld3Q,@ameame3939,ja
01jRBxqI_UA,True,True,1,People & Blogs,579,29109,20230908,UCv4nMjQ8_w3whd1urejKJSA,@gosyo-kensanshiyoukai,ja
01lWjaNR_4o,True,True,4,Travel & Events,1378,348,20230403,UCCKq3VGmuvEGVpkHKpWAiVg,@capricioussimoyan,ja
0_1m1LYoHog,True,True,1,Travel & Events,1429,186,20220628,UCmUURkdCsB7uiBrW-smiXgg,@kotofumi_tozan,ja
01MkV8sLYBc,True,True,1,Gaming,618,3305,20220603,UCALykZ2-0_pD0Me_CMuRYwA,@seeker6853,ja
01mz2y9IX9k,True,True,1,Howto & Style,558,3886,20230725,UCSi5YoVc5nwaytAZGVrO9Ug,@momomo_1,ja
01ndZrO7CDs,True,True,2,Science & Technology,2002,50612,20200709,UCU7WS2W00hmVFrR640ZCYPQ,@classmethod-yt,ja
01nhETKtTk0,True,True,1,People & Blogs,69,180,20200524,UCaPNh2bXrRGz7hTQiIxJong,@user-js9tl7im4q,ja
01NqK0DUtvQ,True,True,1,Entertainment,1266,66150,20230728,UCGlpFZ7HivV90pf3TNnEDUQ,@OURs8888,ja
-01nSOJgQDw,True,True,1,Howto & Style,678,10257,20231103,UCwr6GSvYVVE8kyQcPymUgcA,@user-rt4ir5wo1p,ja
01obJZJ-OoM,True,True,1,Howto & Style,480,7485,20130930,UC4nFDV2linqHG8ujBBIXbhQ,@RiderItitizerokyu,ja
01OcVxv5Kng,True,True,1,Autos & Vehicles,103,149395,20230518,UCW47Uio6Y_pC_0No0Reak-g,@NissanJapan,ja
01oKNbocVOU,True,True,1,Music,168,195,20220117,UC3xQk2DgWyN0rf609UrraCQ,@kakitayuya,ja
01ooTC6u1OU,True,True,1,People & Blogs,90,739,20200806,UC2vFb_N2FmgrE7ImSQnJGnQ,@cyberzinc.9006,ja
01-OPBjFA3Y,True,True,1,Education,163,1633,20190719,UCF1yTrPtjnVR-lxYuEeRxnQ,@LandmarkJapan,ja
01P757OGILw,True,True,2,Education,68,999,20141114,UCf38if92fd2-kg9d4IRncSA,@ciioffice,ja
01q3sAKgcM4,True,True,1,Nonprofits & Activism,180,46,20220905,UCcf6SXzvbz617A7xWii4OkQ,@tokushima_festa,ja
01QtE38Wk5o,True,True,1,Entertainment,956,1014,20230204,UCDvV_UwH7XONN0lUkU4_k1g,@yukkuri.occult,ja
01qwnFCelEw,True,True,1,Entertainment,492,596,20200818,UC85gvJGdmBcrimcfgAVHcWg,@scary-story-reading-ch,ja
01Qypv0tSLU,True,True,1,Entertainment,252,1300,20230712,UC85cimnWMHd8HlkJuqmoK6w,@user-dz9we1bn9s,ja
01rBmVPMgHs,True,True,1,Entertainment,52,1016,20230901,UCiITCX1pDvtVViqelQaYveQ,@k-news_japan,ja
01rJKjXANsY,True,True,3,Gaming,1850,41,20230225,UCF1QsjkFThOx6ZIWJFpZyOg,@kaazuyaan,ja
01roz4zr7fM,True,True,1,News & Politics,715,54637,20220618,UC_xezqwYXy_gIF6QjvNf-ig,@SEIJI-MANABU,ja
01rqaU4s6Ys,True,True,1,Entertainment,373,5622,20210611,UCoSWnFgBl5e2Rp122c_hknQ,@danchannel346,ja
01rynUeDG8s,True,True,1,Gaming,736,1569,20200430,UCuYQxUaUjlVtVdb_uzwriVg,@ganzo59,ja
01S0TE-w4Rg,True,True,1,Sports,531,301,20230101,UCEy6FarqZ5fQEJhwIQH1ENg,@CBCNews8,ja
01S1qly3anY,True,True,2,Howto & Style,298,1519,20180516,UCR22hrK0Icr5Brr0vjcdW-Q,@sakeconcierge,ja
01SGHPrLw78,True,True,2,People & Blogs,58,38,20230623,UCmDw_ujuHWh-PeAU_TrCXMQ,@kiramikuchannel7154,ja
01SOHlo4xAA,True,True,1,People & Blogs,84,32,20170712,UCcxlYLrT-Lbcm0mBjVjU3VQ,@user-qc7rn7bj5e,ja
01T19WHpJd8,True,True,1,Entertainment,114,218,20230125,UCkNzKtiNYS4XMpo3p1PWiQQ,@Msmn_Kaoru,ja
01TEnAn_B9Y,True,True,1,Howto & Style,332,11940,20150615,UC1bmVCtoOMR7m92nzkdfh9A,@hamanakaya,ja
01tRnpYYkWA,True,True,1,People & Blogs,394,72,20210826,UCXSI7OrQ00MqTsbUXNugruQ,@user-tv2fu9oq7z,ja
0-1-V9LB6oc,True,True,1,Nonprofits & Activism,6377,480,20190703,UCnFC2ZxuVd5wfZy1gSbZV4A,@spfnews,ja
01veZ1baK5U,True,True,5,Autos & Vehicles,626,24251,20230223,UCBCMMqqi1zYHHMRA0CsHl6g,@kikushin,ja
01vlMxp0tIQ,True,True,7,Howto & Style,608,4394,20230804,UCJhoVwNS_6g7zNrfxs6qQ_g,@ArtStudioHANE,ja
01VMbRbyuPU,True,True,1,Education,896,75,20220801,UCpLcCZiHCgWQCmSAd_0DNbg,@mei_chan_nel,ja
01wMLjgXGdw,True,True,20,Education,846,3458,20230317,UCZwzARQQl05twIbbDpiOjYg,@tane.bonsai,ja
01wQc7jUz7k,True,True,1,Autos & Vehicles,177,319,20220810,UC9dguvtE2qPMB6SsPq8LRbw,@spaceautojapan6783,ja
01X6ViUUrAY,True,True,1,People & Blogs,231,5683,20180126,UCo-jHzyqTWzuo2uiYBUdGiQ,@spareka4643,ja
01XehccH9tE,True,True,1,News & Politics,527,312,20220604,UCXPvjcckPTPftxkt5_TMTRA,@sohjapan,ja
01Xl0zwdmR0,True,True,5,Entertainment,551,29324,20210710,UCcz-JugHE8-GlqhsiVEPvCg,@AmiShiina,ja
01xLCIRTGY0,True,True,1,Gaming,1636,102,20230121,UC5elmtgZirePI0M0wom2B9A,@tabitt9999,ja
01xzK_E2G9E,True,True,1,Howto & Style,454,414008,20170102,UCOZ7Kq5_VWBC-TtteAcsRBg,@kojochoCH,ja
01XZMiCyNOU,True,True,1,People & Blogs,596,5022,20170410,UCRwqTcUh7jMWqFjSYH3JHow,@sukiyara,ja
01YdxxEDgCk,True,True,1,Howto & Style,407,11484,20220607,UCRbmwz37n3JG8GGVhyADTOQ,@iDeCoNISA,ja
01yl-2WKw1g,True,True,1,Science & Technology,268,4735,20221122,UC4ScdzWJxndJaeY7TuhcauQ,@TenorshareJapan,ja
01Zv3BCtSbE,True,True,1,People & Blogs,71,109,20131227,UCKaTC_6pNOatoOTr5OtcViw,@osrj111,ja
01zxUsrEhzs,True,True,1,Howto & Style,676,1277,20230311,UCpSuwMdRgBvdNcajEs-jhOQ,@tatami777,ja
0205j3JzA9o,True,True,1,Entertainment,271,680,20230307,UC85cimnWMHd8HlkJuqmoK6w,@user-dz9we1bn9s,ja
022F9py37UM,True,True,1,Gaming,1233,2454,20230814,UCQfjyVNlXxkolaj1J7gHsbA,@ZackdNerrr,ja
025BEqF8Heg,True,True,1,Howto & Style,1335,4383,20230121,UCl3psLO1lJNYQvVF2CNpVJw,@maru_illustrator,ja
025GdaeWeVw,True,True,3,Travel & Events,519,309,20231107,UCkonjnexdOlRmohWgzaDmCQ,@daiki_hokkaido,ja
0270SSqBVLU,True,True,1,Film & Animation,40,95344,20230128,UCh5BfHQi8ng3Qa34jNQr94w,@haripota,ja
02-7A0A9pJo,True,True,8,People & Blogs,562,2750,20230405,UCkPdMcHqk6SgmBNfN5gyx7A,@FUNAP,ja
027pccycvDA,True,True,1,People & Blogs,514,2170,20221225,UCMbPNbZNac4j3qC6GslpbIA,@ohno-man,ja
027Z34-NvvI,True,True,1,Entertainment,192,39,20201023,UCX5sLmR6o61OoXbbqfDILfA,@user-qi2do8iz3n,ja
02a5GkZ5jtY,True,True,2,Gaming,615,27094,20221028,UCxVdMf7eOmuMaY5_X5vZFuA,@Abion_ch,ja
02AfgDKuBBo,True,True,1,People & Blogs,112,887,20171205,UCK3fA4mJNKNyJejFFI9aOsA,@user-ls6ri9sc4j,ja
02atYKL8fQA,True,True,1,Science & Technology,464,104,20231029,UC5crqv1AH36LnEi59WBTp7Q,@wakayama-kg_WINTEC,ja
02b6ejxozyY,True,True,1,Gaming,650,6240,20230429,UCAmTevgcA2mTBb5BqY-lTqA,@zelon17,ja
02b9WI-siI4,True,True,1,Entertainment,20,282,20230210,UCGBt7jx86eprZHyERyZ5hVw,@2nd_douteiou,ja
02bHzk6818E,True,True,1,Music,269,260,20230228,UCEsvv5e1ZNvR6BV1Gu0vYNA,@yuta0107,ja
