videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
0FeoFcLTQ3U,False,True,1,Entertainment,594,4,20230714,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
-0FF71zLj5Y,False,True,1,News & Politics,200,38,20210610,UCX3Ehr87FkE5vPGcv9JTvNg,@jacktalk3245,
0ffI5lSQSNQ,False,True,1,News & Politics,614,1002,20200609,UChmJFmQ1nZBseYQxnoQ1sGQ,@user-kx3yn5jy2v,
0FgOTPHBnNc,False,True,1,Entertainment,508,10,20231018,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0FPNKdXx1Q4,False,True,1,People & Blogs,21,1361,20231025,UC8KLf02nDBVrhTImr8OM0Tg,@XiangQiYanJingGe,
0f_Qwd1K9G0,False,True,1,Entertainment,1171,31,20230728,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0Fu-GeleTTU,False,True,1,News & Politics,204,1380,20211119,UCw2AVid5qvKJxg1auni6DKw,@westcacanada,
0fY0uModWYg,False,True,1,Travel & Events,39,51,20230801,UC6mBKOaVmXkLndNmBsINSHg,@user-vj2uo9hb1u,
0-G2AN6tG9k,False,True,1,Gaming,709,43,20220502,UCH0yOO6iS7w0acZnVYpDH3g,@qsseal,
0G6LTSUcaBo,False,True,1,Gaming,44,2631,20220928,UCYZilyZC1y1tqo_xlZu5Fgw,@damow-128,
0g799v1XnLg,False,True,1,Travel & Events,509,1789,20230730,UCFuGg00FHH7zkIwB1h19pMQ,@littlelex,
0G7PQSxKb2k,False,True,1,People & Blogs,2227,689,20210319,UCp7ObnrqDhM8xOdrX0faYwA,@mrmrsfox127,
0Ge9rMxlKWw,False,True,1,Music,643,2436,20201218,UCWxvP4bjzEuyZjw5CBwhMaA,@haveibutifo,
0Ggg0_g4XK0,False,True,1,Science & Technology,374,125,20200204,UCHDQ98VHxMhvOt3hcEweJYw,@user-zc7mh4kz7u,
0ghi3XBAtpk,False,True,1,Autos & Vehicles,213,6,20211224,UC25p9zU76b061bY8mYyGYAw,@user-ff4et6xj9f,
0ghI92pSHto,False,True,1,People & Blogs,1097,62784,20211202,UC-bok3D94D4yAiUKzOCF3LQ,@DongYT,
